"Kod";"Nazwa";"ogółem;ogółem;2023;[osoba]";
0000000;"POLSKA";37636508;
0200000;"DOLNOŚLĄSKIE";2879271;
0201000;"Powiat bolesławiecki";87642;
0201011;"Bolesławiec (1)";37055;
0201022;"Bolesławiec (2)";15267;
0201032;"Gromadka (2)";5003;
0201043;"Nowogrodziec (3)";14622;
0201044;"Nowogrodziec - miasto (4)";4102;
0201045;"Nowogrodziec - obszar wiejski (5)";10520;
0201052;"Osiecznica (2)";7284;
0201062;"Warta Bolesławiecka (2)";8411;
0202000;"Powiat dzierżoniowski";94740;
0202011;"Bielawa (1)";28027;
0202021;"Dzierżoniów (1)";30614;
0202033;"Pieszyce (3)";8904;
0202034;"Pieszyce - miasto (4)";6765;
0202035;"Pieszyce - obszar wiejski (5)";2139;
0202041;"Piława Górna (1)";5904;
0202052;"Dzierżoniów (2)";9152;
0202062;"Łagiewniki (2)";7118;
0202073;"Niemcza (3)";5021;
0202074;"Niemcza - miasto (4)";2683;
0202075;"Niemcza - obszar wiejski (5)";2338;
0203000;"Powiat głogowski";85043;
0203011;"Głogów (1)";62049;
0203022;"Głogów (2)";7207;
0203032;"Jerzmanowa (2)";5879;
0203042;"Kotla (2)";4411;
0203052;"Pęcław (2)";2102;
0203062;"Żukowice (2)";3395;
0204000;"Powiat górowski";32459;
0204013;"Góra (3)";18458;
0204014;"Góra - miasto (4)";10700;
0204015;"Góra - obszar wiejski (5)";7758;
0204022;"Jemielno (2)";2719;
0204032;"Niechlów (2)";4513;
0204043;"Wąsosz (3)";6769;
0204044;"Wąsosz - miasto (4)";2551;
0204045;"Wąsosz - obszar wiejski (5)";4218;
0205000;"Powiat jaworski";47213;
0205011;"Jawor (1)";20503;
0205023;"Bolków (3)";9587;
0205024;"Bolków - miasto (4)";4632;
0205025;"Bolków - obszar wiejski (5)";4955;
0205032;"Męcinka (2)";5219;
0205042;"Mściwojów (2)";3981;
0205052;"Paszowice (2)";4199;
0205062;"Wądroże Wielkie (2)";3724;
0206000;"Powiat karkonoski";60438;
0206011;"Karpacz (1)";4208;
0206021;"Kowary (1)";9745;
0206031;"Piechowice (1)";5743;
0206041;"Szklarska Poręba (1)";5776;
0206052;"Janowice Wielkie (2)";4045;
0206062;"Jeżów Sudecki (2)";7898;
0206072;"Mysłakowice (2)";9640;
0206082;"Podgórzyn (2)";8115;
0206092;"Stara Kamienica (2)";5268;
0207000;"Powiat kamiennogórski";40319;
0207011;"Kamienna Góra (1)";17110;
0207022;"Kamienna Góra (2)";8838;
0207033;"Lubawka (3)";10143;
0207034;"Lubawka - miasto (4)";5536;
0207035;"Lubawka - obszar wiejski (5)";4607;
0207042;"Marciszów (2)";4228;
0208000;"Powiat kłodzki";146952;
0208011;"Duszniki-Zdrój (1)";4001;
0208021;"Kłodzko (1)";24810;
0208031;"Kudowa-Zdrój (1)";9280;
0208041;"Nowa Ruda (1)";20421;
0208051;"Polanica-Zdrój (1)";5937;
0208063;"Bystrzyca Kłodzka (3)";17207;
0208064;"Bystrzyca Kłodzka - miasto (4)";8939;
0208065;"Bystrzyca Kłodzka - obszar wiejski (5)";8268;
0208072;"Kłodzko (2)";16480;
0208083;"Lądek-Zdrój (3)";7468;
0208084;"Lądek-Zdrój - miasto (4)";4946;
0208085;"Lądek-Zdrój - obszar wiejski (5)";2522;
0208092;"Lewin Kłodzki (2)";1957;
0208103;"Międzylesie (3)";6756;
0208104;"Międzylesie - miasto (4)";2375;
0208105;"Międzylesie - obszar wiejski (5)";4381;
0208112;"Nowa Ruda (2)";10586;
0208123;"Radków (3)";8413;
0208124;"Radków - miasto (4)";2245;
0208125;"Radków - obszar wiejski (5)";6168;
0208133;"Stronie Śląskie (3)";6758;
0208134;"Stronie Śląskie - miasto (4)";4992;
0208135;"Stronie Śląskie - obszar wiejski (5)";1766;
0208143;"Szczytna (3)";6878;
0208144;"Szczytna - miasto (4)";4788;
0208145;"Szczytna - obszar wiejski (5)";2090;
0209000;"Powiat legnicki";55032;
0209011;"Chojnów (1)";12361;
0209022;"Chojnów (2)";9474;
0209032;"Krotoszyce (2)";3343;
0209042;"Kunice (2)";7736;
0209052;"Legnickie Pole (2)";5334;
0209062;"Miłkowice (2)";7234;
0209073;"Prochowice (3)";7133;
0209074;"Prochowice - miasto (4)";3496;
0209075;"Prochowice - obszar wiejski (5)";3637;
0209082;"Ruja (2)";2417;
0210000;"Powiat lubański";51410;
0210011;"Lubań (1)";19545;
0210021;"Świeradów-Zdrój (1)";3960;
0210033;"Leśna (3)";9261;
0210034;"Leśna - miasto (4)";3995;
0210035;"Leśna - obszar wiejski (5)";5266;
0210042;"Lubań (2)";6454;
0210053;"Olszyna (3)";6268;
0210054;"Olszyna - miasto (4)";4288;
0210055;"Olszyna - obszar wiejski (5)";1980;
0210062;"Platerówka (2)";1515;
0210072;"Siekierczyn (2)";4407;
0211000;"Powiat lubiński";102872;
0211011;"Lubin (1)";67620;
0211022;"Lubin (2)";18467;
0211032;"Rudna (2)";7429;
0211043;"Ścinawa (3)";9356;
0211044;"Ścinawa - miasto (4)";5251;
0211045;"Ścinawa - obszar wiejski (5)";4105;
0212000;"Powiat lwówecki";42817;
0212013;"Gryfów Śląski (3)";9085;
0212014;"Gryfów Śląski - miasto (4)";6104;
0212015;"Gryfów Śląski - obszar wiejski (5)";2981;
0212023;"Lubomierz (3)";5618;
0212024;"Lubomierz - miasto (4)";1775;
0212025;"Lubomierz - obszar wiejski (5)";3843;
0212033;"Lwówek Śląski (3)";16087;
0212034;"Lwówek Śląski - miasto (4)";8132;
0212035;"Lwówek Śląski - obszar wiejski (5)";7955;
0212043;"Mirsk (3)";8127;
0212044;"Mirsk - miasto (4)";3619;
0212045;"Mirsk - obszar wiejski (5)";4508;
0212053;"Wleń (3)";3900;
0212054;"Wleń - miasto (4)";1569;
0212055;"Wleń - obszar wiejski (5)";2331;
0213000;"Powiat milicki";35603;
0213012;"Cieszków (2)";4565;
0213022;"Krośnice (2)";7980;
0213033;"Milicz (3)";23058;
0213034;"Milicz - miasto (4)";10771;
0213035;"Milicz - obszar wiejski (5)";12287;
0214000;"Powiat oleśnicki";106516;
0214011;"Oleśnica (1)";35132;
0214023;"Bierutów (3)";9295;
0214024;"Bierutów - miasto (4)";4459;
0214025;"Bierutów - obszar wiejski (5)";4836;
0214032;"Dobroszyce (2)";7265;
0214042;"Dziadowa Kłoda (2)";4579;
0214053;"Międzybórz (3)";5014;
0214054;"Międzybórz - miasto (4)";2314;
0214055;"Międzybórz - obszar wiejski (5)";2700;
0214062;"Oleśnica (2)";16208;
0214073;"Syców (3)";16502;
0214074;"Syców - miasto (4)";9938;
0214075;"Syców - obszar wiejski (5)";6564;
0214083;"Twardogóra (3)";12521;
0214084;"Twardogóra - miasto (4)";6177;
0214085;"Twardogóra - obszar wiejski (5)";6344;
0215000;"Powiat oławski";77428;
0215011;"Oława (1)";33166;
0215022;"Domaniów (2)";4914;
0215033;"Jelcz-Laskowice (3)";23712;
0215034;"Jelcz-Laskowice - miasto (4)";15004;
0215035;"Jelcz-Laskowice - obszar wiejski (5)";8708;
0215042;"Oława (2)";15636;
0216000;"Powiat polkowicki";61189;
0216013;"Chocianów (3)";12378;
0216014;"Chocianów - miasto (4)";7356;
0216015;"Chocianów - obszar wiejski (5)";5022;
0216022;"Gaworzyce (2)";3765;
0216032;"Grębocice (2)";5294;
0216043;"Polkowice (3)";26836;
0216044;"Polkowice - miasto (4)";21350;
0216045;"Polkowice - obszar wiejski (5)";5486;
0216053;"Przemków (3)";7828;
0216054;"Przemków - miasto (4)";5598;
0216055;"Przemków - obszar wiejski (5)";2230;
0216062;"Radwanice (2)";5088;
0217000;"Powiat strzeliński";41782;
0217012;"Borów (2)";5013;
0217022;"Kondratowice (2)";3983;
0217032;"Przeworno (2)";4504;
0217043;"Strzelin (3)";21450;
0217044;"Strzelin - miasto (4)";11936;
0217045;"Strzelin - obszar wiejski (5)";9514;
0217053;"Wiązów (3)";6832;
0217054;"Wiązów - miasto (4)";2254;
0217055;"Wiązów - obszar wiejski (5)";4578;
0218000;"Powiat średzki";59078;
0218012;"Kostomłoty (2)";7162;
0218022;"Malczyce (2)";5707;
0218033;"Miękinia (3)";21613;
0218034;"Miękinia - miasto (4)";2094;
0218035;"Miękinia - obszar wiejski (5)";19519;
0218043;"Środa Śląska (3)";19773;
0218044;"Środa Śląska - miasto (4)";9540;
0218045;"Środa Śląska - obszar wiejski (5)";10233;
0218052;"Udanin (2)";4823;
0219000;"Powiat świdnicki";150410;
0219011;"Świdnica (1)";52874;
0219021;"Świebodzice (1)";21805;
0219032;"Dobromierz (2)";4904;
0219043;"Jaworzyna Śląska (3)";10233;
0219044;"Jaworzyna Śląska - miasto (4)";5035;
0219045;"Jaworzyna Śląska - obszar wiejski (5)";5198;
0219052;"Marcinowice (2)";6359;
0219063;"Strzegom (3)";24111;
0219064;"Strzegom - miasto (4)";14940;
0219065;"Strzegom - obszar wiejski (5)";9171;
0219072;"Świdnica (2)";17997;
0219083;"Żarów (3)";12127;
0219084;"Żarów - miasto (4)";6424;
0219085;"Żarów - obszar wiejski (5)";5703;
0220000;"Powiat trzebnicki";87635;
0220013;"Oborniki Śląskie (3)";21088;
0220014;"Oborniki Śląskie - miasto (4)";8990;
0220015;"Oborniki Śląskie - obszar wiejski (5)";12098;
0220023;"Prusice (3)";9303;
0220024;"Prusice - miasto (4)";2144;
0220025;"Prusice - obszar wiejski (5)";7159;
0220033;"Trzebnica (3)";25135;
0220034;"Trzebnica - miasto (4)";13655;
0220035;"Trzebnica - obszar wiejski (5)";11480;
0220042;"Wisznia Mała (2)";12112;
0220052;"Zawonia (2)";5866;
0220063;"Żmigród (3)";14131;
0220064;"Żmigród - miasto (4)";6177;
0220065;"Żmigród - obszar wiejski (5)";7954;
0221000;"Powiat wałbrzyski";52656;
0221011;"Boguszów-Gorce (1)";14166;
0221021;"Jedlina-Zdrój (1)";4623;
0221031;"Szczawno-Zdrój (1)";5240;
0221042;"Czarny Bór (2)";4757;
0221053;"Głuszyca (3)";8065;
0221054;"Głuszyca - miasto (4)";5924;
